area_type,availability,location,size,hall_present,bath,balcony,total_sqft,price
Super built-up  Area,Ready To Move,Attibele,2,1,1,1,995,24.88
Built-up  Area,Ready To Move,Yelahanka,3,1,3,2,1620,90
Built-up  Area,Ready To Move,Choodasandra,3,1,4,3,3204,395
Built-up  Area,Ready To Move,Hebbal Kempapura,3,1,3,3,3408,260
Built-up  Area,Ready To Move,Marathahalli,2,1,2,3,1314,55
Super built-up  Area,Ready To Move,Bisuvanahalli,2,1,2,1,945,33
Built-up  Area,Ready To Move,Nehru Nagar,3,1,3,2,1374,72
Built-up  Area,19-Jan,Kanakpura Road,3,1,3,3,1603,113
Built-up  Area,Ready To Move,Kengeri,3,1,2,2,1230,52
Super built-up  Area,Ready To Move, Basavangudi,1,0,1,1,670,50
Super built-up  Area,Ready To Move,Sarjapur  Road,4,1,3,2,1864,105
Built-up  Area,18-Jan,Hosa Road,3,1,3,2,2500,100
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,2,2,1625,54
Super built-up  Area,Ready To Move,Whitefield,2,1,2,3,1186,55
Plot  Area,Ready To Move,KR Puram,8,1,7,2,1500,382
Super built-up  Area,Ready To Move,Electronic City,2,1,1,1,770,39.9
Super built-up  Area,18-Feb,Varthur,2,1,2,1,1085,45
Super built-up  Area,Ready To Move,Dairy Circle,4,1,6,2,3754,480
Super built-up  Area,Ready To Move,Dodsworth Layout,3,1,3,2,1893,115
Plot  Area,Ready To Move,Thurahalli,4,1,3,2,600,65
Super built-up  Area,Ready To Move,Kundalahalli,3,1,2,3,1496,78
Super built-up  Area,18-Jul,Chandapura,3,1,3,1,1305,33.28
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1,2,2,1550,82
Super built-up  Area,Ready To Move,Marathahalli,3,1,2,1,1200,58.17
Super built-up  Area,20-Jan,Badavala Nagar,3,1,2,2,1494,94.55
Super built-up  Area,Ready To Move,Electronic City Phase II,2,1,2,2,1286,69
Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",3,1,4,1,600,100
Super built-up  Area,Ready To Move,Hebbal,3,1,3,2,1860,95
Built-up  Area,Ready To Move,Raghuvanahalli,1,1,1,1,425,750
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1243,45
Super built-up  Area,Ready To Move,Brookefield,2,1,2,2,1200,75
Super built-up  Area,Ready To Move,Sarjapur,2,1,2,2,1044,32
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1040,41.59
Super built-up  Area,18-Jun,8th Phase JP Nagar,2,1,2,2,1125,36.94
Super built-up  Area,19-Jul,Cunningham Road,3,1,3,1,3489,662
Super built-up  Area,Ready To Move,Subramanyapura,3,1,2,2,1278,59
Super built-up  Area,Ready To Move,Chelekare,6,1,6,2,2400,98
Super built-up  Area,Ready To Move,Belatur,2,1,2,1,1250,43
Plot  Area,Ready To Move,Vijayanagar,5,1,6,3,2400,125
Plot  Area,Ready To Move,KR Puram,5,1,5,2,4166,560
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1,2,2,1210,75
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4,1,3,2,1200,110
Super built-up  Area,18-Apr,Sarjapur  Road,3,1,2,1,1157,57.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1185,51.15
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1,3,3,1450,100
Super built-up  Area,Ready To Move,Old Madras Road,3,1,3,2,1859,121
Super built-up  Area,Ready To Move,Rajaji Nagar,2,1,3,2,1763,262
Super built-up  Area,17-Sep,Attibele,2,1,1,1,900,25
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3,1,3,1,1305,60
Built-up  Area,Ready To Move,Srirampuram,3,1,2,2,1200,100
Super built-up  Area,Ready To Move,Thanisandra,1,1,1,0,784,35.285
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,0,1150,36.8
Built-up  Area,Ready To Move,Whitefield,3,1,3,3,1806,85
Super built-up  Area,Ready To Move,Kudlu,2,1,2,2,1027,42
Super built-up  Area,19-Jul,Uttarahalli,2,1,2,1,1002,40.08
Super built-up  Area,18-Apr,Electronic City Phase II,3,1,2,1,1220,36.21
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1109,35.22
Built-up  Area,Ready To Move,Uttarahalli,2,1,2,1,1002,40.08
Super built-up  Area,Ready To Move,Narayanapura,2,1,2,1,1308,89.04
Super built-up  Area,19-Mar,Hennur Road,2,1,2,1,1232,69.6
Super built-up  Area,18-Apr,Haralur Road,2,1,2,2,1027,44
Built-up  Area,Ready To Move,Kalyan nagar,2,1,2,2,1250,65
Plot  Area,Ready To Move,2nd Phase JP Nagar,6,1,6,3,900,170
Plot  Area,Ready To Move,KR Puram,4,1,4,2,960,80
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1255,53.87
Built-up  Area,Ready To Move,Akshaya Nagar,3,1,3,3,1434,84
Built-up  Area,Ready To Move,Doddathoguru,2,1,2,2,925,30
Super built-up  Area,19-Dec,Jakkur,3,1,3,1,1858,123
Built-up  Area,Ready To Move,Jakkuru Layout,2,1,2,1,1205,70
Plot  Area,18-Jul,Nelamangala,3,1,3,2,1500,90
Plot  Area,Ready To Move,Nagawara Junction,3,1,3,2,1200,200
Super built-up  Area,Ready To Move,Mysore Road,2,1,2,2,1020,48.95
Super built-up  Area,Ready To Move,Thanisandra,2,1,2,1,965,56
Plot  Area,Ready To Move,7th Phase JP Nagar,5,1,6,3,1800,270
Plot  Area,Ready To Move,Hoysalanagar,6,1,4,2,1200,90
Super built-up  Area,Ready To Move,Battarahalli,2,1,2,2,1636,82.89
Super built-up  Area,18-Dec,Kundalahalli,3,1,3,1,1724,125
Super built-up  Area,18-Oct,Whitefield,2,1,2,1,1216,67
Super built-up  Area,18-Feb,Yelahanka,1,1,1,1,654,36.25
Built-up  Area,Ready To Move,Chikkabanavar,4,1,7,2,2460,80
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2,1,2,2,1190,41
Plot  Area,Ready To Move,Tavarekere,7,1,5,2,1200,180
Super built-up  Area,Ready To Move,Budigere,3,1,3,2,1636,92
Super built-up  Area,18-Dec,Hennur Road,2,1,2,2,1195,73
Super built-up  Area,Ready To Move,Nagavara,3,1,3,3,2400,251
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2,1,2,1,1250,67
Super built-up  Area,Ready To Move,Whitefield,3,1,3,2,1452,90
Super built-up  Area,19-Dec,Thanisandra,3,1,3,1,1546,95
Built-up  Area,Ready To Move,Sarjapur  Road,4,1,6,0,3385.5,142
Plot  Area,Ready To Move,Indira Nagar,3,1,3,1,1440,275
Plot  Area,Ready To Move,Naganathapura,2,1,3,1,2260,80
Plot  Area,Ready To Move,Tavarekere,4,1,3,2,2700,90
Super built-up  Area,Ready To Move,Indira Nagar,2,1,2,2,1475,171
Built-up  Area,Ready To Move,JP Nagar,4,1,3,2,3000,150
Built-up  Area,Ready To Move,KG Halli,1,1,1,0,375,26
Super built-up  Area,Ready To Move,Balagere,2,1,2,1,1007,66
Plot  Area,Ready To Move,Kanakpura Road,1,1,1,0,54885.6,125
Super built-up  Area,Ready To Move,Cubbon Road,4,1,6,2,5422,1900
Super built-up  Area,Ready To Move,Hennur Road,2,1,2,3,1020,47
Super built-up  Area,Ready To Move,Lavelle Road,2,1,2,0,1000,150
Plot  Area,Ready To Move,Varanasi,2,1,3,1,800,59.5
Plot  Area,Ready To Move,Geddalahalli,5,1,3,2,1200,95
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,3,1125,55
Plot  Area,Ready To Move,Kudlu Gate,9,1,9,2,1150,140
Built-up  Area,Ready To Move,Kada Agrahara,3,1,2,1,909,43
Built-up  Area,Ready To Move,Whitefield,4,1,5,0,2850,240
Super built-up  Area,Ready To Move,Dodsworth Layout,2,1,2,3,1400,85
Super built-up  Area,Ready To Move,Kadugodi,2,1,2,2,1152,61
Super built-up  Area,Ready To Move,Subramanyapura,2,1,2,1,958,34.49
Super built-up  Area,Ready To Move,Whitefield,2,1,2,2,1150,55
Super built-up  Area,Ready To Move,Old Madras Road,3,1,5,1,2990,173
Super built-up  Area,Ready To Move,Bellandur,2,1,2,2,1310,85
Super built-up  Area,Ready To Move,Hosur Road,3,1,2,2,1590,126
Super built-up  Area,Ready To Move,Green Glen Layout,3,1,3,2,1645,110
Built-up  Area,Ready To Move,Veerabhadra Nagar,3,1,2,2,1800,100
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,2,1795,150
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,1,2,3,1100,35
Super built-up  Area,18-Nov,Thanisandra,1,1,1,0,777,38.535
Super built-up  Area,Ready To Move,Kalkere,2,1,2,2,925,70
Super built-up  Area,Ready To Move,Basavangudi,3,1,3,3,1542.14,120
Plot  Area,Ready To Move,Konanakunte,4,1,6,1,3746,375
Super built-up  Area,Ready To Move,Thanisandra,3,1,2,2,1430,54
Super built-up  Area,Ready To Move,Bommanahalli,2,1,2,2,1020,55
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,4,1,2,1,750,42
Super built-up  Area,18-May,Electronic City Phase II,2,1,2,1,1140,32.92
Built-up  Area,Ready To Move,Anekal,3,1,2,1,967,45
Super built-up  Area,19-Jun,Hebbal,4,1,4,2,2470,203
Built-up  Area,Ready To Move,Maruthi Nagar,2,1,1,0,850,35.5
Super built-up  Area,Ready To Move,Vidhyanagar Cross,2,1,2,2,1100,32
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,2,1697,110
Super built-up  Area,Ready To Move,Varthur,2,1,2,2,1250,47
Super built-up  Area,Ready To Move,Gottigere,2,1,2,2,1120,50
Plot  Area,Ready To Move,NRI Layout,4,1,4,0,1200,95
Plot  Area,Ready To Move,Hennur Road,5,1,6,3,5100,375
Plot  Area,Ready To Move,7th Block Jayanagar,4,1,3,2,2400,480
Super built-up  Area,Ready To Move,Hebbal,2,1,2,1,1200,52
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1100,44
Super built-up  Area,Ready To Move, Devarachikkanahalli,3,1,2,2,1417,76
Built-up  Area,Ready To Move,Thanisandra,3,1,3,1,1492,88
Super built-up  Area,22-Nov,Devanahalli,3,1,3,3,1498,79.15
Built-up  Area,Ready To Move,Bellari Road,4,1,2,1,3500,350
Super built-up  Area,Ready To Move,Kundalahalli,2,1,2,1,1010,48.27
Super built-up  Area,Ready To Move,Hennur,2,1,2,2,1255,53.5
Super built-up  Area,Ready To Move,Channasandra,2,1,2,1,1050,35
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,3,2,1847,125
Super built-up  Area,18-May,1st Stage Indira Nagar,2,1,2,2,1200,55
Super built-up  Area,Ready To Move,Bellandur,2,1,2,2,982,37.28
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,4,2,2144.6,145
Super built-up  Area,Ready To Move,Kengeri,2,1,2,1,750,36.5
Super built-up  Area,Ready To Move,Electronic City,2,1,2,2,919,35
Super built-up  Area,Ready To Move,Budigere,2,1,2,1,1087,54.3
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,1,3,2,1480,74
Built-up  Area,Ready To Move,Tindlu,2,1,2,2,1180,52
Super built-up  Area,Ready To Move,6th Block Jayanagar,3,1,4,2,2100,255
Super built-up  Area,Ready To Move,Jigani,3,1,3,2,1221,65
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1194,46
Built-up  Area,Ready To Move,Thanisandra,3,1,3,2,2072,122
Built-up  Area,18-Dec,Whitefield,3,1,3,2,1600,69
Super built-up  Area,Ready To Move,Sahakara Nagar,3,1,3,2,2200,98
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,3,1640,220
Super built-up  Area,Ready To Move,Kaikondrahalli,2,1,2,2,1253,81.5
Super built-up  Area,Ready To Move,Hennur Road,2,1,2,1,1061,54.92
Super built-up  Area,Ready To Move,Marathahalli,3,1,3,2,1950,115
Built-up  Area,Ready To Move,Marathahalli,2,1,2,2,1250,68
Super built-up  Area,Ready To Move,Hennur Road,3,1,2,3,1585,80
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,3,3,1452,60.98
Super built-up  Area,Ready To Move,Kammasandra,2,1,2,2,1015,37
Super built-up  Area,19-Aug,Begur Road,4,1,6,0,2464.5,118
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,2,1125,56.8
Super built-up  Area,18-May,Electronic City Phase II,2,1,2,2,1116,40
Built-up  Area,Ready To Move,Kadarenahalli,1,1,1,0,400,35
Super built-up  Area,Ready To Move,Kasavanhalli,4,1,4,2,4000,325
Super built-up  Area,Ready To Move,Hebbal,4,1,4,2,3900,410
Super built-up  Area,Ready To Move,Old Madras Road,2,1,2,2,1300,100
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1419,60.42
Super built-up  Area,Ready To Move,Punappa Layout,3,1,2,1,1310,55
Super built-up  Area,Ready To Move,Thigalarapalya,3,1,4,2,2072,152
Built-up  Area,Ready To Move,Kaggadasapura,2,1,2,1,1240,58.58
Built-up  Area,Ready To Move,Chamrajpet,3,1,3,2,1565,98.91
Super built-up  Area,Ready To Move,Budigere,3,1,3,2,1820,89
Plot  Area,Ready To Move,Gubbalala,3,1,3,1,2500,88
Plot  Area,Ready To Move,KR Puram,5,1,5,2,3657,310
Super built-up  Area,Ready To Move,Hosa Road,2,1,2,1,1245,62
Super built-up  Area,Ready To Move,GM Palaya,3,1,3,1,1315,65
Super built-up  Area,Ready To Move,Kenchenahalli,3,1,2,2,1410,73
Super built-up  Area,Ready To Move,Dasarahalli,2,1,2,1,1375,60
Super built-up  Area,Ready To Move,Old Madras Road,2,1,2,2,1299,95
Super built-up  Area,Ready To Move,Pampa Extension,2,1,2,3,993,45.5
Plot  Area,Ready To Move,Bommasandra Industrial Area,2,1,3,0,1200,45
Super built-up  Area,Ready To Move,Lavelle Road,2,1,2,1,985,156
Built-up  Area,Ready To Move,4th Block Koramangala,4,1,5,3,2400,180
Super built-up  Area,18-Nov,Hebbal,3,1,2,1,1255,95
Super built-up  Area,22-Jun,Hoodi,3,1,3,2,1655,131
Super built-up  Area,18-Dec,Whitefield,4,1,5,3,2830,190
Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1,1,1,1,6000,276
Built-up  Area,Ready To Move,Electronic City,2,1,1,1,550,15
Super built-up  Area,Ready To Move,Balaji Gardens Layout,1,1,2,1,825,40
Super built-up  Area,20-Aug,Begur Road,3,1,3,1,1634,111
Plot  Area,Ready To Move,Kogilu,8,1,6,3,1200,105
Super built-up  Area,Ready To Move,Banaswadi,2,1,2,2,1222,80
Super built-up  Area,Ready To Move,Gottigere,3,1,3,2,1500,63
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1,4,2,1890,100
Built-up  Area,Ready To Move,Hegde Nagar,4,1,6,2,3750,375
Super built-up  Area,Ready To Move,Hulimavu,2,1,1,1,850,39.5
Super built-up  Area,Ready To Move,Whitefield,2,1,2,3,1295,78.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,1,1320,100
Built-up  Area,Ready To Move,ISRO Layout,4,1,3,3,950,179
Plot  Area,Ready To Move,Hebbal,4,1,4,2,1200,225
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4,1,3,3,3000,170
Built-up  Area,Ready To Move,Harlur,2,1,2,1,1197,82
Super built-up  Area,Ready To Move,Hoysalanagar,3,1,2,3,1320,60
Plot  Area,Ready To Move,Billekahalli,5,1,5,2,1180,98.5
Super built-up  Area,20-Dec,Whitefield,1,1,1,1,840,57.6
Super built-up  Area,20-Dec,Whitefield,1,1,1,0,640,19.83
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,1,1693,71.38
Super built-up  Area,Ready To Move,Kodihalli,2,1,2,1,1000,62
Built-up  Area,Ready To Move,Babusapalaya,2,1,2,1,1305,70
Built-up  Area,Ready To Move,Kodichikkanahalli,1,1,1,1,450,18
Super built-up  Area,Ready To Move,CV Raman Nagar,1,1,1,1,705,57
Super built-up  Area,Ready To Move,Ilyas Nagar,4,1,6,2,750,75
Built-up  Area,Ready To Move,Tumkur Road,5,1,5,2,4800,150
Built-up  Area,Ready To Move,Koramangala Industrial Layout,4,1,5,2,5000,600
Plot  Area,Ready To Move,Gubbalala,4,1,4,3,5000,425
Built-up  Area,18-Dec,Whitefield,3,1,3,2,1991,104
Super built-up  Area,Ready To Move,Battarahalli,3,1,3,2,1779,90
Plot  Area,Ready To Move,Whitefield,4,1,4,1,10200,1250
Super built-up  Area,Ready To Move,Banaswadi,2,1,2,2,870,38
Super built-up  Area,18-May,Thanisandra,3,1,3,2,1595,120
Super built-up  Area,21-Dec,Kanakpura Road,1,1,1,1,525,26
Plot  Area,Ready To Move,Ramamurthy Nagar,4,1,5,2,945,120
Plot  Area,18-Apr,Basaveswarnagar,6,1,4,2,2400,420
Super built-up  Area,18-Dec,Iblur Village,3,1,4,2,2000,138
Super built-up  Area,Ready To Move,Yelahanka,3,1,3,2,1614,93
Super built-up  Area,Ready To Move,Gottigere,2,1,2,3,1200,40
Built-up  Area,Ready To Move,Electronic City Phase II,3,1,3,3,1150,46
Super built-up  Area,Ready To Move,Indira Nagar,4,1,4,2,3200,440
Super built-up  Area,18-Dec,Sonnenahalli,3,1,3,2,1610,80.48
Super built-up  Area,Ready To Move,Whitefield,2,1,2,2,1190,41
Super built-up  Area,Ready To Move,Kallumantapa,2,1,2,2,1050,50
Plot  Area,Ready To Move,Vaishnavi Layout,4,1,5,2,4800,420
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,1,1460,97
Super built-up  Area,Ready To Move,Jaymahal Road,3,1,3,3,3400,400
Plot  Area,Ready To Move,Naganathapura,1,1,1,0,600,33
Built-up  Area,Ready To Move,Suraksha Nagar,3,1,3,0,1569,70
Built-up  Area,18-Dec,"Off Sarjapur Road, ",3,1,3,2,2600,147
Super built-up  Area,Ready To Move,Electronics City Phase 1,1,1,1,0,645,42.5
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,4,1,3,1,1200,180
Plot  Area,Ready To Move,Nagarbhavi,3,1,3,0,800,95
Built-up  Area,Ready To Move,Mico Layout,2,1,2,1,800,80
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,1,1350,90
Super built-up  Area,Ready To Move,BTM 2nd Stage,3,1,4,1,2780,325
Super built-up  Area,18-Mar,Rajarajeshwari Nagara,3,1,2,2,1410,45.12
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1109,35.47
Super built-up  Area,Ready To Move,Vasanth nagar,4,1,3,2,2000,1063
Built-up  Area,Ready To Move,Agrahara Dasarahalli,1,1,1,0,800,72
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,1,1215,68
Plot  Area,Ready To Move,Basaveshwara Nagar,8,1,6,0,1230,250
Built-up  Area,Ready To Move,Prithvi Layout,3,1,4,2,2273,192
Super built-up  Area,18-Aug,Varthur Road,2,1,2,2,1255,52.76
Super built-up  Area,Ready To Move,B Narayanapura,2,1,2,1,1020,49
Super built-up  Area,18-Jul,T R Mill Road,3,1,2,2,1225,82
Super built-up  Area,Ready To Move,Singasandra,2,1,2,1,1120,60
Plot  Area,Ready To Move,Victoria Layout,5,1,5,3,2400,625
Super built-up  Area,Ready To Move,Kasavanhalli,3,1,2,1,1225,69
Plot  Area,Ready To Move,Whitefield,4,1,5,3,5200,242
Built-up  Area,Ready To Move,Indira Nagar,4,1,4,1,4000,700
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,4,1,1984,145
Super built-up  Area,Ready To Move,Old Madras Road,3,1,3,1,2425,197
Plot  Area,18-Sep,ITPL,3,1,3,1,1200,56.12
Super built-up  Area,18-Aug,Bommasandra,2,1,2,1,1127,45
Built-up  Area,18-Jun,Whitefield,3,1,3,2,1655,97
Super built-up  Area,18-Aug,Ananth Nagar,1,1,1,1,500,14
Plot  Area,18-Jul,Varthur,3,1,3,1,1200,68.38
Super built-up  Area,Ready To Move,Kaggadasapura,2,1,2,2,1000,43
Super built-up  Area,18-Jul,CV Raman Nagar,2,1,2,2,1225,47.88
Super built-up  Area,Ready To Move,Hormavu,2,1,2,2,1350,45
Plot  Area,18-Apr,Nagarbhavi,4,1,5,3,600,95
Super built-up  Area,Ready To Move,Sahakara Nagar,2,1,2,3,1175,49
Super built-up  Area,Ready To Move,Sanne Amanikere,1,1,1,2,655,27
Super built-up  Area,19-Mar,Hosa Road,3,1,2,1,1311,84.86
Plot  Area,Ready To Move,Banashankari Stage VI,3,1,4,0,600,90
Carpet  Area,Ready To Move,CV Raman Nagar,2,1,2,1,1000,38.5
Super built-up  Area,Ready To Move,Indira Nagar Stage 2,2,1,2,1,1196,96
Built-up  Area,Ready To Move,Kanakpura Road,3,1,2,1,1050,59
Super built-up  Area,Ready To Move,Somasundara Palya,3,1,2,2,1275,52
Carpet  Area,Ready To Move,Hommadevanahalli,2,1,2,1,927,50
Super built-up  Area,Ready To Move,Varthur,3,1,2,3,1520,61
Plot  Area,Ready To Move,BTM Layout 2nd Stage 1st Phase,4,1,5,2,2400,395
Built-up  Area,Ready To Move,Hebbal,2,1,2,1,1333,104
Super built-up  Area,18-Mar,Tunganagara,1,1,1,0,600,18
Super built-up  Area,18-Sep,Abbigere,3,1,2,1,1326,34.8
Super built-up  Area,18-Mar,Sarjapur  Road,3,1,3,2,1773.5,85.125
Built-up  Area,Ready To Move,Koramangala,2,1,2,2,1370,125
Super built-up  Area,Ready To Move,Koramangala,2,1,2,2,1100,85
Super built-up  Area,Ready To Move,Haralur Road,3,1,3,3,1650,100
Super built-up  Area,18-May,Kasavanhalli,3,1,3,2,1917,132
Carpet  Area,Ready To Move,Doddakannelli,3,1,3,2,780,75
Super built-up  Area,Ready To Move,Billekahalli,2,1,2,1,950,58.11
Super built-up  Area,Ready To Move,T C Palya main Road,2,1,2,1,1175,48.72
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,1,2,1,1089,43.55
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1,3,2,1804,175
Super built-up  Area,Ready To Move,Hoodi,2,1,2,1,1257,68.5
Super built-up  Area,Ready To Move,Sarjapur,1,1,1,2,650,19.87
Super built-up  Area,Ready To Move,Whitefield,3,1,3,2,1850,150
Built-up  Area,Ready To Move,Vishwapriya Nagar,4,1,4,1,2800,200
Built-up  Area,Ready To Move,Vidyaranyapura,2,1,2,1,945,40
Super built-up  Area,22-Dec,Koramangala,2,1,2,1,1161,63.85
Super built-up  Area,17-Apr,Banashankari Stage V,3,1,3,2,1630,51.35
Super built-up  Area,Ready To Move,Jalahalli,3,1,2,2,1310,60
Super built-up  Area,Ready To Move,Lake City,2,1,2,1,750,28
Plot  Area,18-Sep,Whitefield,3,1,3,1,1200,67.77
Super built-up  Area,Ready To Move,Vittal Nagar,2,1,2,1,1000,45
Plot  Area,Ready To Move,Old Madras Road,4,1,4,2,4000,225
Built-up  Area,Ready To Move,Nagavara,2,1,2,2,1315,70
Super built-up  Area,Ready To Move,Sahakara Nagar,3,1,2,2,1370,90
Plot  Area,Ready To Move,Ulsoor,5,1,4,3,1200,150
Built-up  Area,Ready To Move,Bellandur,2,1,3,3,1465,90
Plot  Area,Ready To Move,JP Nagar,3,1,3,2,20000,175
Super built-up  Area,18-Apr,Electronic City,2,1,2,1,1128,64
Super built-up  Area,Ready To Move,Padmanabhanagar,3,1,2,2,1250,70
Super built-up  Area,19-Jun,Hebbal,3,1,3,2,1645,117
Super built-up  Area,Ready To Move,Horamavu Agara,3,1,2,2,1284,75
Super built-up  Area,18-Mar,Hebbal,3,1,3,2,2600,199
Super built-up  Area,19-Jun,Kodigehalli,3,1,3,2,1820,150
Super built-up  Area,Ready To Move,Haralur Road,3,1,3,1,1580,73
Built-up  Area,Ready To Move,Akshaya Nagar,3,1,3,2,2650,125
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,1,1215,68
Super built-up  Area,Ready To Move,Uttarahalli,2,1,2,1,1075,40
Super built-up  Area,Ready To Move,R.T. Nagar,3,1,2,3,1400,78
Super built-up  Area,Ready To Move,Subramanyapura,3,1,2,1,1400,55
Built-up  Area,Ready To Move,Bisuvanahalli,2,1,2,1,845,30
Super built-up  Area,Ready To Move,Hegde Nagar,4,1,4,3,2600,40
Built-up  Area,Ready To Move,Sarjapur,4,1,6,0,3854.5,385.5
Super built-up  Area,Ready To Move,Richards Town,2,1,2,1,800,85
Super built-up  Area,Ready To Move,Panathur,2,1,2,1,1199,85
Super built-up  Area,Ready To Move,Gunjur,2,1,2,2,1175,43.48
Plot  Area,Ready To Move,Sahakara Nagar,3,1,3,2,2400,270
Super built-up  Area,Ready To Move,Bellandur,3,1,3,2,1767,109
Super built-up  Area,Ready To Move,Sarjapur  Road,4,1,3,1,1800,90
Super built-up  Area,18-Aug,Talaghattapura,3,1,3,2,1856,135
Plot  Area,Ready To Move,R.T. Nagar,3,1,3,2,1200,140
Super built-up  Area,18-Jun,Rajaji Nagar,3,1,3,0,1613,150
Super built-up  Area,Ready To Move,Jakkur,4,1,5,2,6830,795
Built-up  Area,Ready To Move,Whitefield,2,1,2,0,1290,90
Super built-up  Area,Ready To Move,Kasavanhalli,2,1,2,1,1375,78
Super built-up  Area,Ready To Move,Bagalur,2,1,2,2,985,57
Plot  Area,Ready To Move,Jeevan bima nagar,4,1,4,1,1200,200
Super built-up  Area,Ready To Move,Singasandra,2,1,2,1,1099,37.5
Super built-up  Area,18-Mar,Electronic City,1,1,1,0,605,13.31
Super built-up  Area,Ready To Move,1 Immadihalli,11,1,12,2,6000,150
Built-up  Area,Ready To Move,RMV Extension Stage 2,7,1,7,3,3600,160
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,1,1200,53
Built-up  Area,Ready To Move,Hulimavu,2,1,2,1,1000,45
Super built-up  Area,Ready To Move,Electronic City,3,1,2,3,1159,38
Super built-up  Area,Ready To Move,Sarjapur  Road,5,1,5,2,3692,340
Plot  Area,Ready To Move,Devi Nagar,2,1,2,1,600,80
Plot  Area,Ready To Move,4th Block Koramangala,4,1,4,3,2400,600
Built-up  Area,Ready To Move,BTM Layout,3,1,2,2,1540,78
Built-up  Area,Ready To Move,"JP Nagar 7th Phase, ",3,1,2,2,1503,93
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1,4,2,1850,120
Built-up  Area,Ready To Move,Uttarahalli,3,1,3,1,1580,60
Super built-up  Area,Ready To Move,Mico Layout,2,1,2,2,1190,39.25
Plot  Area,Ready To Move,Sampigehalli,2,1,2,1,1200,61
Plot  Area,Ready To Move,HAL 2nd Stage,7,1,7,3,1000,250
Super built-up  Area,18-Nov,Jakkur,2,1,1,1,850,19.9
Super built-up  Area,Ready To Move,Domlur,3,1,3,2,2180,285
Super built-up  Area,Ready To Move,Hennur Bande,3,1,2,1,2500,60
Plot  Area,18-Dec,ITPL,3,1,3,1,1200,56.12
Super built-up  Area,Ready To Move,Kamakshipalya,3,1,2,2,1500,52
Plot  Area,Ready To Move,Navodaya Nagar,5,1,3,2,1200,180
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,3,1880,120
Super built-up  Area,Ready To Move,Padmanabhanagar,2,1,2,2,1150,45
Plot  Area,18-May,Kasavanhalli,4,1,4,2,4408,344
Super built-up  Area,Ready To Move,Bellandur,2,1,2,2,924,35.11
Super built-up  Area,Ready To Move,Sarjapur  Road,5,1,6,2,7800,385
Plot  Area,Ready To Move,Kumaraswami Layout,6,1,6,3,600,100
Plot  Area,18-Feb,Pattanagere,4,1,4,1,750,95
Built-up  Area,Ready To Move,Karuna Nagar,3,1,3,2,1962,175
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,1,4,3,1200,240
